"ID_Predators_individuals" "ID_species" "Lifestage" "Sex" "Length" "stomach_part" "number_of_prey" "total_weight_g" "latin_name" "ID_sampling" "station_name" "dates"
48 6 1 10 14 "Vorderdarm oder Magen" 1 2 "Anthozoa spp." 12 "Millionenviertel" "1971-08-18"
48 6 1 10 14 "Vorderdarm oder Magen" 1 34 "Nephthys spp." 12 "Millionenviertel" "1971-08-18"
48 6 1 10 14 "Vorderdarm oder Magen" 2 21 "Pleuronectiformes spp." 12 "Millionenviertel" "1971-08-18"
49 6 1 10 15 "Mitteldarm" 1 NA "Crangon crangon" 12 "Millionenviertel" "1971-08-18"
49 6 1 10 15 "Mitteldarm" 1 1 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
49 6 1 10 15 "Mitteldarm" NA 1 "Unidentified Polychaeta remains" 12 "Millionenviertel" "1971-08-18"
49 6 1 10 15 "Vorderdarm oder Magen" 1 17 "Pomatoschistus minutus" 12 "Millionenviertel" "1971-08-18"
49 6 1 10 15 "Mitteldarm" NA 3 "Macerated" 12 "Millionenviertel" "1971-08-18"
50 6 2 10 16 "Mitteldarm" NA 5 "Macerated" 12 "Millionenviertel" "1971-08-18"
50 6 2 10 16 "Mitteldarm" 1 3 "Crangon crangon" 12 "Millionenviertel" "1971-08-18"
50 6 2 10 16 "Vorderdarm oder Magen" 1 2 "Crangon crangon" 12 "Millionenviertel" "1971-08-18"
50 6 2 10 16 "Vorderdarm oder Magen" 1 53 "Nephthys spp." 12 "Millionenviertel" "1971-08-18"
51 6 2 10 17 "Mitteldarm" NA 13 "Macerated" 12 "Millionenviertel" "1971-08-18"
51 6 2 10 17 "Mitteldarm" 1 2 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
51 6 2 10 17 "Vorderdarm oder Magen" 2 2 "Crangon crangon" 12 "Millionenviertel" "1971-08-18"
51 6 2 10 17 "Vorderdarm oder Magen" 1 3 "Terebellides stroemi" 12 "Millionenviertel" "1971-08-18"
51 6 2 10 17 "Vorderdarm oder Magen" 1 50 "Nephthys spp." 12 "Millionenviertel" "1971-08-18"
53 6 NA 10 16 "Mitteldarm" NA NA "Unidentified Polychaeta remains" 12 "Millionenviertel" "1971-08-18"
53 6 NA 10 16 "Mitteldarm" 64 47 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
53 6 NA 10 16 "Mitteldarm" NA 5 "Macerated" 12 "Millionenviertel" "1971-08-18"
54 6 NA 10 16 "Mitteldarm" 40 23 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
54 6 NA 10 16 "Mitteldarm" 1 1 "Crangon crangon" 12 "Millionenviertel" "1971-08-18"
54 6 NA 10 16 "Vorderdarm oder Magen" 9 7 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
55 6 NA 10 18 "Vorderdarm oder Magen" 8 5 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
55 6 NA 10 18 "Mitteldarm" NA 2 "Ophiura albida" 12 "Millionenviertel" "1971-08-18"
55 6 NA 10 18 "Vorderdarm oder Magen" 1 2 "Ophiura albida" 12 "Millionenviertel" "1971-08-18"
55 6 NA 10 18 "Mitteldarm" 135 104 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
56 6 2 20 27 "Mitteldarm" 120 146 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
56 6 2 20 27 "Mitteldarm" NA 10 "Macerated" 12 "Millionenviertel" "1971-08-18"
56 6 2 20 27 "Mitteldarm" 2 6 "Abra alba" 12 "Millionenviertel" "1971-08-18"
56 6 2 20 27 "Vorderdarm oder Magen" 2 4 "Diastylis rathkei" 12 "Millionenviertel" "1971-08-18"
58 6 2 20 29 "Mitteldarm" NA 27 "Macerated" 13 "Suederfahrt" "1971-10-27"
